"","betweenness","degree","closeness","eigen_centrality","page_rank","count_components","components","feature_id"
"10000",0.000194759250999552,0.0636139485734414,0.420108146651613,0.343658012318335,0.000201160668334463,26,1,"10000"
"10001",3.04752687507967e-07,0.000634026065516027,0.30014221731655,8.36263572926107e-05,1.75309123088735e-05,26,1,"10001"
"100049587",0.000268802544893075,0.0991898555829517,0.41820709236639,0.524236642096485,0.000309903743161664,26,1,"100049587"
"10004",2.60126246447077e-06,0.000915815427967594,0.315385644823125,0.00035439230247215,2.06443977262014e-05,26,1,"10004"
"10005",8.48851915708525e-05,0.038464247974639,0.417614223692371,0.22832928682923,0.000127438818953277,26,1,"10005"
"10006",4.18463265239684e-05,0.002606551602677,0.374351371386212,0.00788130359083354,3.25382546918058e-05,26,1,"10006"
"10007",0,0.000211342021838676,0.29313597445944,1.51406836224945e-05,1.60239375865411e-05,26,1,"10007"
"10008",5.00870382412495e-07,0.000422684043677351,0.288506661769807,2.13298248741783e-05,1.58478217692225e-05,26,1,"10008"
"10009",2.59509528134063e-07,0.000281789362451567,0.267615496716316,4.24408594084552e-06,1.59139158025637e-05,26,1,"10009"
"1000",6.55505839819204e-05,0.000845368087354702,0.353889278206027,0.00716434144844724,1.61575047927595e-05,26,1,"1000"
"100101267",0.000506741064786528,0.00831278619232124,0.370108624525586,0.0212118592549452,0.000109438642554459,26,1,"100101267"
"100101467",6.02967784243408e-05,0.00225431489961254,0.362025705361258,0.00198317486832161,4.70563742205014e-05,26,1,"100101467"
"10010",0.000318698418051844,0.0125396266290948,0.369046065509592,0.0320605429280652,9.65227122875915e-05,26,1,"10010"
"100113407",1.19175742043954e-06,0.000352236703064459,0.313025768174976,0.000918643970714393,1.37760923774337e-05,26,1,"100113407"
"10011",1.19518315052909e-05,0.000915815427967594,0.323177839233881,0.000229401136497668,2.61291541183741e-05,26,1,"10011"
"100127983",7.52999894040116e-05,0.0120464952448045,0.375564409030544,0.0665639323630406,5.40755536373136e-05,26,1,"100127983"
"100128071",5.17732464423882e-05,0.000563578724903135,0.284902581048135,3.80906941595062e-05,6.4628580563771e-05,26,1,"100128071"
"100128327",1.34731719864274e-06,0.000704473406128919,0.299881235154394,2.75392378101113e-05,3.15797198279228e-05,26,1,"100128327"
"100128338",0.0112505458133016,0.0326171187037689,0.402676918695714,0.0491664487539085,0.000603463026582623,26,1,"100128338"
"100128553",8.10600751000132e-07,0.00570623458964424,0.358110674939851,0.0307711349549058,2.7525460950063e-05,26,1,"100128553"
"100128569",0,7.04473406128919e-05,0.269970979074385,2.52224866266253e-05,1.12553357503539e-05,26,1,"100128569"
"100128731",3.14889668253956e-05,0.00112715744980627,0.337679705784019,0.000533820589778083,2.96023296000934e-05,26,1,"100128731"
"100128927",2.39515670661774e-05,0.00958083832335329,0.379454701588665,0.0435993498151537,4.56924816416143e-05,26,1,"100128927"
"100129480",0.00560214150444352,0.180204297287777,0.452929305871424,0.665449138749956,0.000821906080671167,26,1,"100129480"
"100129520",3.55323536973367e-06,0.00119760479041916,0.296014067995311,6.48001173196155e-05,5.19573933745952e-05,26,1,"100129520"
"100129543",1.15487538873747e-08,0.000211342021838676,0.239709771478945,1.08632157355351e-07,2.15112589266761e-05,26,1,"100129543"
"100129583",0.00206416468767221,0.0970059880239521,0.423201245061655,0.500130265415927,0.000321823074765285,26,1,"100129583"
"100129654",2.5395844266078e-07,0.000352236703064459,0.284021291553681,6.82710065880155e-06,2.16053601755587e-05,26,1,"100129654"
"100129792",2.4153167797238e-09,0.000422684043677351,0.34050956027549,0.00467097889390166,1.21482271536098e-05,26,1,"100129792"
"100129842",0,7.04473406128919e-05,0.242605174662,3.63307903012209e-07,1.23918512250173e-05,26,1,"100129842"
"100129969",1.1494978933549e-08,0.000352236703064459,0.288013035950708,0.000110652596344958,1.37601723597491e-05,26,1,"100129969"
