"","betweenness","degree","closeness","eigen_centrality","page_rank","count_components","components","feature_id"
"10000",0.000490726204134857,0.0993168342356277,0.418556255236345,0.698861604017483,0.000256679971530997,15,1,"10000"
"10001",2.78542754610047e-05,0.00386697602474865,0.363493404684786,0.000484339992609005,3.19998887648808e-05,15,1,"10001"
"10002",4.47428322016672e-06,0.00812064965197216,0.374064054876576,0.000950757862519322,4.94356268009931e-05,15,1,"10002"
"10003",0,6.44496004124774e-05,0.25184161313928,8.66714084473689e-08,1.04524063029711e-05,15,1,"10003"
"100049587",0.000346282542591288,0.0863624645527198,0.392602732780693,0.642074100795905,0.000232261778362446,15,1,"100049587"
"10004",8.9674506639599e-07,0.000128899200824955,0.331194799084707,8.25790510932636e-05,1.07957149123033e-05,15,1,"10004"
"10005",0.000200242566212781,0.0799819541118845,0.408089591567852,0.627938267965511,0.00020304390359155,15,1,"10005"
"10006",7.06581030937549e-06,0.000580046403712297,0.305777128415732,0.000437743603590848,2.09593891464442e-05,15,1,"10006"
"10007",9.06433236665902e-10,0.00103119360659964,0.341499448732084,0.000154403112566228,1.48623155198006e-05,15,1,"10007"
"10008",0,6.44496004124774e-05,0.23925906471597,8.70279140246515e-08,1.67401955976541e-05,15,1,"10008"
"10009",1.37605867190437e-05,0.000773395204949729,0.354758905050968,0.000165698648375097,1.85625941935e-05,15,1,"10009"
"1000",1.97057975942236e-07,0.00148234080948698,0.337900639277377,0.0128853436489744,1.46506837311402e-05,15,1,"1000"
"100101267",0.000441385802291089,0.00412477442639856,0.340883078006691,0.00379911404314924,9.95240825275641e-05,15,1,"100101267"
"100101467",1.26447573071759e-07,0.000128899200824955,0.27778873921544,2.31826091015454e-05,1.14425761877948e-05,15,1,"100101467"
"10010",2.51304382133315e-06,0.000580046403712297,0.337400056643646,0.000217025185591601,1.50144201550882e-05,15,1,"10010"
"100113407",4.2829549315975e-05,0.00109564320701212,0.339962682471737,0.00173755654814306,2.09083042855925e-05,15,1,"100113407"
"100125288",0.000280744004801916,0.00122454240783707,0.300339377484728,5.87761798908818e-06,5.98578557121538e-05,15,1,"100125288"
"100127983",1.53046810323848e-06,0.00122454240783707,0.360414242494764,0.00726288794176975,1.45155631155996e-05,15,1,"100127983"
"100128071",1.80339137185792e-06,0.000902294405774684,0.312275678509497,8.53067352837961e-05,1.79618716238406e-05,15,1,"100128071"
"100128327",0.000370190414429406,0.000773395204949729,0.282526999416229,2.12930302939572e-06,6.51701500623147e-05,15,1,"100128327"
"100128338",0.00375718322931405,0.011343129672596,0.362956713304741,0.00604295820941544,0.000322672929742922,15,1,"100128338"
"100128553",0.00116795612227998,0.0592291827790668,0.394352210226115,0.347893417039454,0.000236307756541887,15,1,"100128553"
"100128569",0.000749029626610273,0.0844934261407579,0.391550577705863,0.00261670938432448,0.000489253507997038,15,1,"100128569"
"100128731",1.43975388792639e-05,0.000902294405774684,0.299416131776351,9.61044823210845e-05,3.76085419171588e-05,15,1,"100128731"
"100128927",4.10028307722502e-06,0.00219128641402423,0.373153747921837,0.0121556744648412,1.60674816296989e-05,15,1,"100128927"
"100129271",3.85686420273868e-07,0.00483372003093581,0.36445145196969,0.000604156701048923,3.35535236323876e-05,15,1,"100129271"
"100129278",7.14144528425753e-08,0.000193348801237432,0.260237603132194,2.43183993610648e-07,1.28753164378383e-05,15,1,"100129278"
"100129361",3.97214362604226e-07,0.000193348801237432,0.265043127053669,1.10030794446008e-05,1.57459748102927e-05,15,1,"100129361"
"100129480",0.0177572789948302,0.15841711781387,0.442384597806216,0.787022684369194,0.000882982494691753,15,1,"100129480"
"100129543",2.07211813345931e-05,0.00051559680329982,0.302091054500059,1.17660861265104e-05,1.74961216841721e-05,15,1,"100129543"
"100129583",1.47275245104959e-08,0.00109564320701212,0.327081881349131,0.00915375113496638,1.24430771461274e-05,15,1,"100129583"
"100129654",1.338471847594e-05,0.009989688063934,0.382981354171819,0.00125833112951015,6.11466169599897e-05,15,1,"100129654"
"100129792",2.59278688611034e-05,0.00290023201856148,0.371257341483879,0.0190379198709975,2.1935561531035e-05,15,1,"100129792"
"100129842",1.34480917737245e-06,0.00025779840164991,0.292649281934996,2.47667440494857e-05,1.26732292666519e-05,15,1,"100129842"
"100129969",4.3164574520235e-09,0.000902294405774684,0.32154053773487,4.36076775786618e-05,1.38986324658345e-05,15,1,"100129969"
"100130274",0.000753360720583092,0.109886568703274,0.419588187483067,0.00584781351849803,0.000591805027786772,15,1,"100130274"
"100130311",0.000692253556963558,0.0146300592936324,0.374471068984694,0.0769668716212657,0.000108113487744996,15,1,"100130311"
"100130348",1.71546337775117e-05,0.0153390048981696,0.356498319598545,0.000637348622748949,8.73033751040061e-05,15,1,"100130348"
"100130519",2.49498299233449e-05,0.0122454240783707,0.381012128816395,0.00125893384055247,7.05656902565321e-05,15,1,"100130519"
"100130613",1.2518865713645e-05,0.0120520752771333,0.385018894192522,0.00176334237633734,7.00378924914634e-05,15,1,"100130613"
"100130733",1.10040122484794e-06,0.0059938128383604,0.344415780812169,0.0406931437136811,2.56986105095117e-05,15,1,"100130733"
"100130933",0.00112560981790744,0.0729569476669245,0.416989768443726,0.519011235357688,0.000221444073809944,15,1,"100130933"
"100130958",5.18311534645988e-07,0.00025779840164991,0.296033642358788,1.26368980166391e-05,1.68221638211661e-05,15,1,"100130958"
"100131017",0.000149452629125754,0.00728280484660995,0.404349755881047,0.00370782268270262,5.48958077331842e-05,15,1,"100131017"
"100131137",2.33841237468434e-07,0.000322248002062387,0.3003859805652,6.80737974155129e-06,1.2972607718753e-05,15,1,"100131137"
