"","betweenness","degree","closeness","eigen_centrality","page_rank","count_components","components","feature_id"
"10000",0.000228395149500289,0.0393661797474622,0.326422352702976,0.000143893127095821,0.000221691141847856,14,1,"10000"
"10001",9.18494854832251e-05,0.000557068581332013,0.256858808909282,2.07736112717424e-06,2.67468900125933e-05,14,1,"10001"
"10002",2.25287701258857e-08,0.000309482545184452,0.307613050944476,0.000117712961716531,1.78990403347575e-05,14,1,"10002"
"100037417",0,6.18965090368903e-05,0.271885592863045,9.52838186401669e-05,1.02595092462148e-05,14,1,"100037417"
"10003",0,6.18965090368903e-05,0.178575780064465,8.36989665381516e-11,1.86664211574321e-05,14,1,"10003"
"100049587",0.000261350294157787,0.0658578856152513,0.325138650801654,0.000223002720833178,0.000375072214668568,14,1,"100049587"
"10004",0,6.18965090368903e-05,0.297800025860317,3.52803980748782e-05,1.11461435235471e-05,14,1,"10004"
"10005",7.99128710015452e-05,0.0201782619460262,0.330612747108523,0.202565455289868,0.000114089574746985,14,1,"10005"
"10006",3.94635380893665e-05,0.000680861599405793,0.275967134542965,0.00268399727705177,1.8848529833151e-05,14,1,"10006"
"10008",2.48514064919279e-07,0.000371379054221342,0.269126116350889,0.000896877774842323,1.3370892184352e-05,14,1,"10008"
"10009",0.000182106755462046,0.000309482545184452,0.274650766609881,3.47610083633307e-05,2.77947656472467e-05,14,1,"10009"
"1000",3.98458792486336e-05,0.00111413716266403,0.293116613941311,4.91854926874786e-06,2.46025569450214e-05,14,1,"1000"
"100101267",0.000722227652539379,0.00334241148799208,0.306222458592919,9.49473104198346e-06,0.000113138088609341,14,1,"100101267"
"100101467",8.87957116303277e-05,0.00117603367170092,0.300867780162359,2.40699356319496e-05,4.40708372648007e-05,14,1,"100101467"
"10010",0.000336232445002346,0.00414706610547165,0.297355121915231,3.2922426429731e-05,4.90120425059465e-05,14,1,"10010"
"100113407",1.39034105034534e-07,0.000371379054221342,0.262056858633637,1.2299317541267e-06,1.22813200637727e-05,14,1,"100113407"
"10011",6.56412767435884e-08,0.000123793018073781,0.252260992020028,3.3972655745964e-05,1.15711499610903e-05,14,1,"10011"
"100125288",0,6.18965090368903e-05,0.248543150494866,1.07139718449068e-06,1.09739493024835e-05,14,1,"100125288"
"100127983",0.000143850708202055,0.00402327308739787,0.315437292115046,1.68697660030923e-05,5.46831288794385e-05,14,1,"100127983"
"100128071",0.000148777366269634,0.00123793018073781,0.291184279444434,0.000288441799545257,6.27434706281091e-05,14,1,"100128071"
"100128327",3.73758343554745e-06,0.000433275563258232,0.288516258343922,0.000182635490189219,2.51681357513275e-05,14,1,"100128327"
"100128338",0.00844815207850704,0.0279772220846744,0.352601535332327,0.0873025789022049,0.000367477169828449,14,1,"100128338"
"100128553",0.000169346135053781,0.0315053230997772,0.327576397919376,0.296772916997965,0.000175154962136751,14,1,"100128553"
"100128569",4.3879063559415e-05,0.00148551621688537,0.31959559916741,0.000252989514158479,5.2162091983081e-05,14,1,"100128569"
"100128731",4.42255792490922e-05,0.000618965090368903,0.297448386561134,0.000744738466125516,1.97071605052201e-05,14,1,"100128731"
