"","samples"
"E-MTAB-1841","E-MTAB-184__92"
"E-MTAB-1842","E-MTAB-184__93"
"E-MTAB-1843","E-MTAB-184__95"
"E-MTAB-1844","E-MTAB-184__96"
"E-MTAB-1845","E-MTAB-184__100"
"E-MTAB-1846","E-MTAB-184__101"
"E-MTAB-1847","E-MTAB-184__103"
"E-MTAB-1848","E-MTAB-184__107"
"E-MTAB-1849","E-MTAB-184__108"
"E-MTAB-18410","E-MTAB-184__114"
"E-MTAB-18411","E-MTAB-184__115"
"E-MTAB-18412","E-MTAB-184__116"
"E-MTAB-18413","E-MTAB-184__117"
"E-MTAB-18414","E-MTAB-184__121"
"E-MTAB-18415","E-MTAB-184__123"
"E-MTAB-18416","E-MTAB-184__124"
"E-MTAB-18417","E-MTAB-184__125"
"E-MTAB-18418","E-MTAB-184__126"
"E-MTAB-18419","E-MTAB-184__129"
"E-MTAB-18420","E-MTAB-184__130"
"E-MTAB-18421","E-MTAB-184__132"
"E-MTAB-18422","E-MTAB-184__133"
"E-MTAB-18423","E-MTAB-184__135"
"E-MTAB-18424","E-MTAB-184__137"
"E-MTAB-18425","E-MTAB-184__139"
"E-MTAB-18426","E-MTAB-184__141"
"E-MTAB-18427","E-MTAB-184__143"
"E-MTAB-18428","E-MTAB-184__148"
"E-MTAB-18429","E-MTAB-184__149"
"E-MTAB-18430","E-MTAB-184__151"
"E-MTAB-18431","E-MTAB-184__152"
"E-MTAB-18432","E-MTAB-184__154"
"E-MTAB-18433","E-MTAB-184__156"
"E-MTAB-18434","E-MTAB-184__159"
"E-MTAB-18435","E-MTAB-184__160"
"E-MTAB-18436","E-MTAB-184__162"
"E-MTAB-18437","E-MTAB-184__163"
"E-MTAB-18438","E-MTAB-184__168"
"E-MTAB-29671","E-MTAB-2967__12"
"E-MTAB-29672","E-MTAB-2967__14"
"E-MTAB-29673","E-MTAB-2967__24"
"E-MTAB-29674","E-MTAB-2967__26"
"E-MTAB-29675","E-MTAB-2967__28"
"E-MTAB-29676","E-MTAB-2967__32"
"E-MTAB-29677","E-MTAB-2967__34"
"E-MTAB-29678","E-MTAB-2967__36"
"E-MTAB-29679","E-MTAB-2967__38"
"E-MTAB-296710","E-MTAB-2967__40"
"E-MTAB-296711","E-MTAB-2967__42"
"E-MTAB-296712","E-MTAB-2967__48"
"E-MTAB-296713","E-MTAB-2967__56"
"E-MTAB-296714","E-MTAB-2967__58"
"E-MTAB-7604__rnaseq1","E-MTAB-7604__2"
"E-MTAB-7604__rnaseq2","E-MTAB-7604__20"
"E-MTAB-7604__rnaseq3","E-MTAB-7604__3"
"E-MTAB-7604__rnaseq4","E-MTAB-7604__21"
"E-MTAB-7604__rnaseq5","E-MTAB-7604__22"
"E-MTAB-7604__rnaseq6","E-MTAB-7604__23"
"E-MTAB-7604__rnaseq7","E-MTAB-7604__25"
"E-MTAB-7604__rnaseq8","E-MTAB-7604__26"
"E-MTAB-7604__rnaseq9","E-MTAB-7604__11"
"E-MTAB-7604__rnaseq10","E-MTAB-7604__28"
"E-MTAB-7604__rnaseq11","E-MTAB-7604__29"
"E-MTAB-7604__rnaseq12","E-MTAB-7604__4"
"E-MTAB-7604__rnaseq13","E-MTAB-7604__32"
"E-MTAB-7604__rnaseq14","E-MTAB-7604__33"
